"Key","Value"
1,63931.585
2,89027.829
3,23943.379
4,13653.348
5,14772.865
6,7041.05
7,44637.776
8,80957.776
9,17731.249
10,21728.164
11,11790.661
12,25958.511
13,11442.896
14,5445.141
15,12943.525
16,46190.808
17,31699.014
18,24648.436
19,39697.607
20,33647.45
21,10270.976
22,11461.952
23,18398.196
24,33904.701
25,36653.473
26,55023.085
27,29069.339
28,33299.685
29,80633.831
30,110551.144
31,79238.007
32,24662.728
33,39468.94
34,28993.117
35,182643.296
36,32146.821
37,104863.043
38,196739.687
39,29979.244
40,31775.236
41,10123.295
42,29255.132
43,112361.428
44,94044.219
45,21385.163
46,26239.58
47,6426.505
48,10142.351
49,14972.949
50,13215.068
51,18903.169
52,25777.482
53,43637.356
54,39245.037
55,71682.456
56,95173.264
57,40855.236
58,20265.645
59,10723.547
60,37363.296
61,10466.296
62,39225.981
63,26458.72
64,59982.309
65,9318.195
66,142.917
67,71844.428
68,4759.139
69,41222.057
70,24291.143
71,15249.255
72,20246.59
73,51192.907
74,48839.538
75,70829.717
76,25915.635
77,12514.775
78,13196.012
79,14610.892
80,9389.654
81,36000.819
82,74583.673
83,22504.68
84,73783.337
85,26282.456
86,27949.822
87,25796.537
88,41260.168
89,37620.546
90,26639.748
91,85707.388
92,452.571
93,5211.71
94,21356.58
95,1681.658
96,7293.537
97,21175.551
98,32289.738
99,18879.35
100,12895.886
101,25629.801
102,61011.312
103,20770.62
104,18364.848
105,12600.525
106,29669.591
107,15720.881
108,8417.818
109,8517.86
110,23619.433
111,7736.58
112,5511.836
113,465.836
114,176.605
115,154.926
116,166.295
117,218.113
118,5840.545
119,126.109
120,252.747
121,6979.119
122,225.78
123,398.155
124,414.018
125,3768.248
126,14563.253
127,394.19
128,150.167
129,192.733
130,157.306
131,311.968
132,228.159
133,123.73
134,475.883
135,789.172
136,366.959
137,406.351
138,283.679
139,288.702
140,490.424
141,219.699
142,14696.643
143,10871.227
144,425.915
145,216.527
146,12576.706
147,816.139
148,335.762
149,636.361
150,181.364
151,702.72
152,347.923
153,482.492
154,536.161
155,285.53
156,666.236
157,674.96
158,0
159,333.382
160,774.367
161,227.631
162,423.8
163,297.691
164,235.562
165,278.391
166,348.188
167,244.815
168,634.775
169,725.986
170,377.798
171,251.689
172,9594.502
173,743.963
174,1107.485
175,8598.846
176,164.18
177,700.076
178,465.836
179,440.192
180,9746.947
181,10976.034
182,351.625
183,427.237
184,327.037
185,370.66
186,434.375
187,718.319
188,486.722
189,498.619
190,412.167
191,334.175
192,311.703
193,6640.881
194,4373.263
195,256.977
196,238.999
197,438.341
198,2663.022
199,184.272
200,265.437
201,200.664
202,363.786
203,415.34
204,474.032
205,246.666
206,7241.133
207,146.202
208,5783.379
209,193.526
210,388.902
211,5449.906
212,20494.313
213,88.567
214,4773.431
215,173.962
216,646.936
217,272.046
218,330.21
219,293.99
220,437.019
221,3601.511
222,5821.49
223,137.477
224,7627.01
225,169.467
226,138.006
227,5973.935
228,113.947
229,130.075
230,240.056
231,174.49
232,287.909
233,1429.171
234,4382.791
235,6617.062
236,217.849
237,226.573
238,369.867
239,206.48
240,6088.269
241,294.519
242,334.175
243,182.686
244,261.471
245,149.639
246,379.649
247,141.443
248,329.945
249,298.22
250,197.756
251,223.665
252,501.792
253,289.231
254,171.847
255,158.099
256,5850.073
257,308.795
258,304.565
259,7836.621
260,10142.351
261,302.45
262,311.703
263,359.292
264,145.937
265,97.027
266,127.431
267,130.868
268,304.829
269,295.576
270,223.929
271,250.896
272,0
273,0
274,367.223
275,122.672
276,150.696
277,90.153
278,145.673
279,161.8
280,92.797
281,161.271
282,235.562
283,138.006
284,184.537
285,143.294
286,146.731
287,102.05
288,144.087
289,322.014
290,119.499
291,148.581
292,216.527
293,121.879
294,169.203
295,136.42
296,159.685
297,311.703
298,181.893
299,253.54
300,244.815
301,208.331
302,6088.269
303,4020.735
304,195.641
305,212.297
306,134.04
307,117.649
308,143.029
309,230.539
310,120.557
311,270.196
312,305.887
313,4606.694
314,6726.631
315,107.867
316,146.995
317,238.735
318,132.983
319,163.651
320,108.66
321,179.778
322,337.348
323,200.135
324,224.458
325,249.838
326,224.722
327,174.755
328,145.673
329,205.158
330,182.686
331,144.88
332,290.024
333,138.27
334,238.206
335,170.26
336,191.146
337,149.639
338,398.684
339,215.998
340,189.824
341,186.916
342,249.838
343,244.815
344,176.605
345,108.924
346,165.237
347,98.349
348,123.73
349,206.48
350,160.478
351,123.201
352,131.661
353,181.629
354,114.212
355,159.949
356,80.9
357,89.625
358,46.002
359,96.498
360,3134.649
361,117.384
362,98.613
363,95.177
364,95.177
365,16.656
366,135.362
367,160.743
368,107.338
369,142.236
370,82.222
371,172.375
372,208.331
373,2824.995
374,19541.532
375,3649.151
